po_id,orderdate,suppliername,suppliercountry,warehouseid,sku,productname,orderedqty,unitcost,expecteddeliverydate,actualdeliverydate,receivingstore,postatus,receivedqty,deliveryperformance,potype
PO-000016,2024-12-23,BlueStar Trading,China,WH-001,PRD-0002,PureChoice Carbonated Drinks Plus,26,1.7879,2025-01-13,2025-01-12,Boston Flagship,Partial,21,Early,Regular
PO-000017,2025-02-05,BlueStar Trading,China,WH-001,PRD-0002,PureChoice Carbonated Drinks Plus,40,1.7956,2025-02-26,2025-02-26,Boston Flagship,Received,40,OnTime,Regular
PO-000018,2025-05-17,BlueStar Trading,China,WH-001,PRD-0002,PureChoice Carbonated Drinks Plus,27,1.8249,2025-06-07,2025-06-06,Boston Flagship,Received,27,Early,Regular
PO-000019,2025-06-21,BlueStar Trading,China,WH-001,PRD-0002,PureChoice Carbonated Drinks Plus,26,1.8916,2025-07-12,,Boston Flagship,Received,26,OnTime,Regular
PO-000020,2025-07-23,BlueStar Trading,China,WH-001,PRD-0002,PureChoice Carbonated Drinks Plus,36,1.848,2025-08-13,2025-08-11,Boston Flagship,Received,36,Early,Regular
PO-000021,2025-10-04,BlueStar Trading,China,WH-001,PRD-0002,PureChoice Carbonated Drinks Plus,36,1.8387,2025-10-25,2025-10-25,Boston Flagship,Received,36,OnTime,Regular
PO-000022,2026-02-22,BlueStar Trading,China,WH-001,PRD-0002,PureChoice Carbonated Drinks Plus,31,1.9015,2026-03-15,2026-03-17,Boston Flagship,Received,31,Late,Regular
PO-000023,2026-05-16,BlueStar Trading,China,WH-001,PRD-0002,PureChoice Carbonated Drinks Plus,30,1.855,2026-06-06,2026-06-06,Boston Flagship,Received,30,OnTime,Regular
PO-000024,2026-07-23,BlueStar Trading,China,WH-001,PRD-0002,PureChoice Carbonated Drinks Plus,32,2.1344,2026-08-13,2026-08-13,Boston Flagship,Received,32,OnTime,Regular
PO-000025,2026-09-23,BlueStar Trading,China,WH-001,PRD-0002,PureChoice Carbonated Drinks Plus,31,1.9133,2026-10-14,2026-10-20,Boston Flagship,Received,31,Late,Regular
PO-000026,2026-10-23,BlueStar Trading,China,WH-001,PRD-0002,PureChoice Carbonated Drinks Plus,27,1.905,2026-11-13,2026-11-13,Boston Flagship,Received,27,OnTime,Regular
PO-000027,2024-11-16,Meridian Logistics,Mexico,WH-001,PRD-0003,EverGreen Carbonated Drinks Deluxe,37,1.1567,2024-11-26,2024-11-26,Boston Flagship,Received,37,OnTime,Regular
PO-000028,2025-01-23,Meridian Logistics,Mexico,WH-001,PRD-0003,EverGreen Carbonated Drinks Deluxe,31,1.2068,2025-02-02,2025-02-04,Boston Flagship,Received,31,Late,Regular
PO-000029,2025-03-21,Meridian Logistics,Mexico,WH-001,PRD-0003,EverGreen Carbonated Drinks Deluxe,31,1.185,2025-03-31,2025-03-31,Boston Flagship,Received,31,OnTime,Regular
PO-000030,2025-05-26,Meridian Logistics,Mexico,WH-001,PRD-0003,EverGreen Carbonated Drinks Deluxe,29,1.1744,2025-06-05,2025-06-09,Boston Flagship,Partial,16,Late,Regular
PO-000031,2025-06-29,MERIDIAN LOGISTICS,Mexico,WH-001,PRD-0003,EverGreen Carbonated Drinks Deluxe,27,1.2025,2025-07-09,2025-07-09,Boston Flagship,Received,27,OnTime,Regular
PO-000032,2025-09-15,meridian logistics,Mexico,WH-001,PRD-0003,EverGreen Carbonated Drinks Deluxe,25,1.2,2025-09-25,2025-09-25,Boston Flagship,Received,25,OnTime,Regular
PO-000033,2025-09-30,Meridian Logistics,Mexico,WH-001,PRD-0003,EverGreen Carbonated Drinks Deluxe,28,1.2023,2025-10-10,2025-10-13,Boston Flagship,Received,28,Late,Regular
PO-000034,2025-12-05,Meridian Logistics,Mexico,WH-001,PRD-0003,EverGreen Carbonated Drinks Deluxe,19,1.2437,2025-12-15,2025-12-20,Boston Flagship,Received,19,Late,Regular
PO-000035,2026-01-03,Meridian Logistics,Mexico,WH-001,PRD-0003,EverGreen Carbonated Drinks Deluxe,22,1.3753,2026-01-13,2026-01-13,Boston Flagship,Received,22,OnTime,Regular
PO-000036,2026-02-09,Meridian Logistics,Mexico,WH-001,PRD-0003,EverGreen Carbonated Drinks Deluxe,17,1.1979,2026-02-19,2026-02-19,Boston Flagship,Received,17,OnTime,Regular
PO-000037,2026-03-10,Meridian Logistics,Mexico,WH-001,PRD-0003,EverGreen Carbonated Drinks Deluxe,18,1.3118,2026-03-20,2026-03-20,Boston Flagship,Received,18,OnTime,Regular
PO-000038,2026-04-14,Meridian Logistics,Mexico,WH-001,PRD-0003,EverGreen Carbonated Drinks Deluxe,18,1.2433,2026-04-24,2026-04-24,Boston Flagship,Received,18,OnTime,Regular
PO-000039,2026-07-27,Meridian Logistics,Mexico,WH-001,PRD-0003,EverGreen Carbonated Drinks Deluxe,17,1.2638,2026-08-06,2026-08-09,Boston Flagship,Received,17,Late,Regular
PO-000040,2026-11-20,Meridian Logistics,Mexico,WH-001,PRD-0003,EverGreen Carbonated Drinks Deluxe,19,1.2294,2026-11-30,2026-11-30,Boston Flagship,Received,19,OnTime,Regular
PO-000041,2024-12-31,Solaris Trading Co.,UAE,WH-001,PRD-0004,PureChoice Carbonated Drinks Classic,22,0.9569,2025-01-16,2025-01-16,Boston Flagship,Partial,17,OnTime,Regular
PO-000042,2025-03-14,Solaris Trading Co.,UAE,WH-001,PRD-0004,PureChoice Carbonated Drinks Classic,22,0.9798,2025-03-30,,Boston Flagship,Partial,19,OnTime,Regular
PO-000043,2025-05-07,Solaris Trading Co.,UAE,WH-001,PRD-0004,PureChoice Carbonated Drinks Classic,19,0.9698,2025-05-23,2025-05-21,Boston Flagship,Received,19,Early,Regular
PO-000044,2025-10-19,Solaris Trading Co.,UAE,WH-001,PRD-0004,PureChoice Carbonated Drinks Classic,25,1.0013,2025-11-04,2025-11-04,Boston Flagship,Received,25,OnTime,Regular
PO-000045,2026-03-15,Solaris Trading Co.,UAE,WH-001,PRD-0004,PureChoice Carbonated Drinks Classic,19,0.9858,2026-03-31,2026-04-07,Boston Flagship,Received,19,Late,Regular
PO-000046,2026-04-19,Solaris Trading Co.,UAE,WH-001,PRD-0004,PureChoice Carbonated Drinks Classic,25,1.031,2026-05-05,2026-05-16,Boston Flagship,Received,25,Late,Regular
PO-000047,2026-06-01,Solaris Trading Co.,UAE,WH-001,PRD-0004,PureChoice Carbonated Drinks Classic,21,1.0197,2026-06-17,2026-06-29,Boston Flagship,Received,21,Late,Regular
PO-000048,2026-07-22,Solaris Trading Co.,UAE,WH-001,PRD-0004,PureChoice Carbonated Drinks Classic,23,1.0186,2026-08-07,2026-08-07,Boston Flagship,Received,23,OnTime,Regular
PO-000049,2024-12-25,SOLARIS TRADING CO.,UAE,WH-001,PRD-0005,UrbanHarvest Carbonated Drinks Classic,24,1.4293,2025-01-10,2025-01-10,Boston Flagship,Received,24,OnTime,Regular
PO-000050,2025-04-03,Solaris Trading Co.,UAE,WH-001,PRD-0005,UrbanHarvest Carbonated Drinks Classic,23,1.5042,2025-04-19,2025-05-02,Boston Flagship,Received,23,Late,Regular
PO-000051,2025-08-12,Solaris Trading Co.,UAE,WH-001,PRD-0005,UrbanHarvest Carbonated Drinks Classic,22,1.4737,2025-08-28,2025-08-28,Boston Flagship,Received,22,OnTime,Regular
PO-000052,2025-10-22,Solaris Trading Co.,UAE,WH-001,PRD-0005,UrbanHarvest Carbonated Drinks Classic,24,1.5005,2025-11-07,2025-11-07,Boston Flagship,Received,24,OnTime,Regular
PO-000053,2025-12-22,Solaris Trading Co.,UAE,WH-001,PRD-0005,UrbanHarvest Carbonated Drinks Classic,21,1.5065,2026-01-07,2026-01-10,Boston Flagship,Partial,15,Late,Regular
PO-000054,2026-03-20,Solaris Trading Co.,UAE,WH-001,PRD-0005,UrbanHarvest Carbonated Drinks Classic,20,1.5316,2026-04-05,2026-04-16,Boston Flagship,Received,20,Late,Regular
PO-000055,2026-05-20,Solaris Trading Co.,UAE,WH-001,PRD-0005,UrbanHarvest Carbonated Drinks Classic,24,1.4957,2026-06-05,2026-06-05,Boston Flagship,Partial,19,OnTime,Regular
PO-000056,2026-07-30,Solaris Trading Co.,UAE,WH-001,PRD-0005,UrbanHarvest Carbonated Drinks Classic,25,1.4869,2026-08-15,2026-08-18,Boston Flagship,Received,25,Late,Regular
PO-000057,2026-09-28,Solaris Trading Co.,UAE,WH-001,PRD-0005,UrbanHarvest Carbonated Drinks Classic,21,1.5062,2026-10-14,2026-10-19,Boston Flagship,Received,21,Late,Regular
PO-000058,2026-12-13,Solaris Trading Co.,UAE,WH-001,PRD-0005,UrbanHarvest Carbonated Drinks Classic,21,1.5026,2026-12-29,2026-12-29,Boston Flagship,Received,21,OnTime,Regular
PO-000059,2025-05-30,EastBridge Imports,China,WH-001,PRD-0006,SunRise Carbonated Drinks Deluxe,12,2.0101,2025-06-24,2025-07-03,Boston Flagship,Partial,6,Late,Regular
PO-000060,2026-08-14,EastBridge Imports,China,WH-001,PRD-0006,SunRise Carbonated Drinks Deluxe,14,2.0023,2026-09-08,,Boston Flagship,Received,14,OnTime,Regular
PO-000061,2025-01-09,OmniSource Global,China,WH-001,PRD-0007,ValuBrand Carbonated Drinks Premium,101,1.4338,2025-02-06,2025-02-06,Boston Flagship,Received,101,OnTime,Regular
PO-000062,2025-04-10,OmniSource Global,China,WH-001,PRD-0007,ValuBrand Carbonated Drinks Premium,121,1.4398,2025-05-08,2025-05-08,Boston Flagship,Received,121,OnTime,Regular
PO-000063,2025-05-26,OmniSource Global,China,WH-001,PRD-0007,ValuBrand Carbonated Drinks Premium,113,1.4884,2025-06-23,2025-07-12,Boston Flagship,Partial,64,Late,Regular
PO-000064,2025-07-23,OmniSource Global,China,WH-001,PRD-0007,ValuBrand Carbonated Drinks Premium,111,1.4882,2025-08-20,,Boston Flagship,Received,111,Late,Regular
PO-000065,2025-12-21,OmniSource Global,China,WH-001,PRD-0007,ValuBrand Carbonated Drinks Premium,92,1.5241,2026-01-18,2026-01-18,Boston Flagship,Received,92,OnTime,Regular
PO-000066,2026-04-13,OmniSource Global,China,WH-001,PRD-0007,ValuBrand Carbonated Drinks Premium,119,1.4966,2026-05-11,2026-05-11,Boston Flagship,Received,119,OnTime,Regular
PO-000067,2026-08-08,OmniSource Global,China,WH-001,PRD-0007,ValuBrand Carbonated Drinks Premium,90,1.5263,2026-09-05,2026-09-27,Boston Flagship,Received,90,Late,Regular
PO-000068,2024-10-12,Harvest Fields LLC,USA,WH-001,PRD-0008,QuickServe Carbonated Drinks Deluxe,12,2.0113,2024-10-17,2024-10-17,Boston Flagship,Partial,9,OnTime,Regular
PO-000069,2024-11-04,Harvest Fields LLC,USA,WH-001,PRD-0008,QuickServe Carbonated Drinks Deluxe,14,2.0481,2024-11-09,2024-11-09,Boston Flagship,Received,14,OnTime,Regular
PO-000070,2025-03-22,Harvest Fields LLC,USA,WH-001,PRD-0008,QuickServe Carbonated Drinks Deluxe,21,2.0619,2025-03-27,2025-03-27,Boston Flagship,Received,21,OnTime,Regular
PO-000071,2025-04-27,Harvest Fields LLC,USA,WH-001,PRD-0008,QuickServe Carbonated Drinks Deluxe,25,2.0721,2025-05-02,2025-05-02,Boston Flagship,Received,25,OnTime,Regular
PO-000072,2025-06-13,Harvest Fields LLC,USA,WH-001,PRD-0008,QuickServe Carbonated Drinks Deluxe,21,2.1072,2025-06-18,2025-06-18,Boston Flagship,Received,21,OnTime,Regular
PO-000073,2025-08-31,HARVEST FIELDS LLC,USA,WH-001,PRD-0008,QuickServe Carbonated Drinks Deluxe,20,2.0855,2025-09-05,2025-09-05,Boston Flagship,Received,20,OnTime,Regular
PO-000074,2026-01-09,Harvest Fields LLC,USA,WH-001,PRD-0008,QuickServe Carbonated Drinks Deluxe,19,2.1587,2026-01-14,2026-01-14,Boston Flagship,Received,19,OnTime,Regular
PO-000075,2026-03-01,Harvest Fields LLC,USA,WH-001,PRD-0008,QuickServe Carbonated Drinks Deluxe,22,2.0978,2026-03-06,2026-03-06,Boston Flagship,Received,22,OnTime,Regular
PO-000076,2026-04-26,Harvest Fields LLC,USA,WH-001,PRD-0008,QuickServe Carbonated Drinks Deluxe,25,2.1365,2026-05-01,2026-05-01,Boston Flagship,Received,25,OnTime,Regular
PO-000077,2026-07-06,Harvest Fields LLC,USA,WH-001,PRD-0008,QuickServe Carbonated Drinks Deluxe,23,2.1541,2026-07-11,2026-07-11,Boston Flagship,Received,23,OnTime,Regular
PO-000078,2026-12-06,Harvest Fields LLC,USA,WH-001,PRD-0008,QuickServe Carbonated Drinks Deluxe,20,2.1898,2026-12-11,2026-12-11,Boston Flagship,Received,20,OnTime,Regular
PO-000079,2026-12-31,Harvest Fields LLC,USA,WH-001,PRD-0008,QuickServe Carbonated Drinks Deluxe,17,2.2218,2026-12-31,,Boston Flagship,Received,17,OnTime,Regular
PO-000080,2024-10-26,Delta Procurement,Canada,WH-001,PRD-0009,CoastalSelect Carbonated Drinks Deluxe,15,2.1074,2024-11-04,2024-11-04,Boston Flagship,Received,15,OnTime,Regular
PO-000081,2024-12-07,Delta Procurement,Canada,WH-001,PRD-0009,CoastalSelect Carbonated Drinks Deluxe,14,2.1225,2024-12-16,2024-12-15,Boston Flagship,Received,14,Early,Regular
PO-000082,2024-12-23,DELTA PROCUREMENT,Canada,WH-001,PRD-0009,CoastalSelect Carbonated Drinks Deluxe,13,2.1283,2025-01-01,2025-01-01,Boston Flagship,Received,13,OnTime,Regular
PO-000083,2025-05-28,Delta Procurement,Canada,WH-001,PRD-0009,CoastalSelect Carbonated Drinks Deluxe,22,2.1912,2025-06-06,2025-06-06,Boston Flagship,Partial,16,OnTime,Regular
PO-000084,2025-07-15,Delta Procurement,Canada,WH-001,PRD-0009,CoastalSelect Carbonated Drinks Deluxe,19,2.1305,2025-07-24,2025-07-24,Boston Flagship,Received,19,OnTime,Regular
PO-000085,2025-08-21,DELTA PROCUREMENT,Canada,WH-001,PRD-0009,CoastalSelect Carbonated Drinks Deluxe,20,2.1828,2025-08-30,2025-08-30,Boston Flagship,Received,20,OnTime,Regular
PO-000086,2025-11-27,Delta Procurement,Canada,WH-001,PRD-0009,CoastalSelect Carbonated Drinks Deluxe,28,2.1911,2025-12-06,2025-12-09,Boston Flagship,Received,28,Late,Regular
PO-000087,2026-02-23,Delta Procurement,Canada,WH-001,PRD-0009,CoastalSelect Carbonated Drinks Deluxe,27,2.161,2026-03-04,2026-03-04,Boston Flagship,Received,27,OnTime,Regular
PO-000088,2026-07-04,Delta Procurement,Canada,WH-001,PRD-0009,CoastalSelect Carbonated Drinks Deluxe,31,2.2794,2026-07-13,2026-07-15,Boston Flagship,Received,31,Late,Regular
PO-000089,2026-09-05,Delta Procurement,Canada,WH-001,PRD-0009,CoastalSelect Carbonated Drinks Deluxe,38,2.2361,2026-09-14,2026-09-22,Boston Flagship,Received,38,Late,Regular
PO-000090,2026-12-26,Delta Procurement,Canada,WH-001,PRD-0009,CoastalSelect Carbonated Drinks Deluxe,40,2.2022,2026-12-31,2026-12-31,Boston Flagship,Received,40,OnTime,Regular
PO-000091,2024-10-19,Sterling Wholesale,USA,WH-001,PRD-0010,NaturePath Carbonated Drinks Plus,24,1.9054,2024-10-23,2024-10-23,Boston Flagship,Partial,15,OnTime,Regular
PO-000092,2024-11-12,Sterling Wholesale,USA,WH-001,PRD-0010,NaturePath Carbonated Drinks Plus,20,1.9297,2024-11-16,2024-11-16,Boston Flagship,Received,20,OnTime,Regular
PO-000093,2025-01-11,Sterling Wholesale,USA,WH-001,PRD-0010,NaturePath Carbonated Drinks Plus,21,1.9493,2025-01-15,2025-01-15,Boston Flagship,Received,21,OnTime,Regular
PO-000094,2025-01-18,Sterling Wholesale,USA,WH-001,PRD-0010,NaturePath Carbonated Drinks Plus,20,1.9419,2025-01-22,2025-01-22,Boston Flagship,Received,20,OnTime,Regular
PO-000095,2025-04-01,Sterling Wholesale,USA,WH-001,PRD-0010,NaturePath Carbonated Drinks Plus,25,1.9293,2025-04-05,2025-04-08,Boston Flagship,Received,25,Late,Regular
PO-000096,2025-05-01,Sterling Wholesale,USA,WH-001,PRD-0010,NaturePath Carbonated Drinks Plus,25,1.9628,2025-05-05,2025-05-05,Boston Flagship,Received,25,OnTime,Regular
PO-000097,2025-07-22,Sterling Wholesale,USA,WH-001,PRD-0010,NaturePath Carbonated Drinks Plus,21,1.9826,2025-07-26,2025-07-26,Boston Flagship,Received,21,OnTime,Regular
PO-000098,2025-08-12,Sterling Wholesale,USA,WH-001,PRD-0010,NaturePath Carbonated Drinks Plus,21,1.9679,2025-08-16,2025-08-16,Boston Flagship,Received,21,OnTime,Regular
PO-000099,2025-09-11,Sterling Wholesale,USA,WH-001,PRD-0010,NaturePath Carbonated Drinks Plus,25,1.964,2025-09-15,2025-09-15,Boston Flagship,Received,25,OnTime,Regular
PO-000100,2025-10-25,Sterling Wholesale,USA,WH-001,PRD-0010,NaturePath Carbonated Drinks Plus,21,1.9698,2025-10-29,2025-10-29,Boston Flagship,Received,21,OnTime,Regular
PO-000101,2025-11-16,Sterling Wholesale,USA,WH-001,PRD-0010,NaturePath Carbonated Drinks Plus,23,1.9827,2025-11-20,2025-11-20,Boston Flagship,Received,23,OnTime,Regular
PO-000102,2026-01-07,Sterling Wholesale,USA,WH-001,PRD-0010,NaturePath Carbonated Drinks Plus,21,2.0277,2026-01-11,2026-01-11,Boston Flagship,Received,21,OnTime,Regular
PO-000103,2026-01-18,Sterling Wholesale,USA,WH-001,PRD-0010,NaturePath Carbonated Drinks Plus,25,1.9543,2026-01-22,2026-01-22,Boston Flagship,Received,25,OnTime,Regular
PO-000104,2026-02-13,Sterling Wholesale,USA,WH-001,PRD-0010,NaturePath Carbonated Drinks Plus,25,2.0008,2026-02-17,2026-02-17,Boston Flagship,Received,25,OnTime,Regular
PO-000105,2026-04-05,Sterling Wholesale,USA,WH-001,PRD-0010,NaturePath Carbonated Drinks Plus,21,1.9766,2026-04-09,2026-04-09,Boston Flagship,Received,21,OnTime,Regular
PO-000106,2026-05-03,Sterling Wholesale,USA,WH-001,PRD-0010,NaturePath Carbonated Drinks Plus,25,2.0427,2026-05-07,2026-05-07,Boston Flagship,Partial,20,OnTime,Regular
PO-000107,2026-05-13,Sterling Wholesale,USA,WH-001,PRD-0010,NaturePath Carbonated Drinks Plus,24,1.982,2026-05-17,2026-05-17,Boston Flagship,Partial,21,OnTime,Regular
PO-000108,2026-05-28,Sterling Wholesale,USA,WH-001,PRD-0010,NaturePath Carbonated Drinks Plus,20,2.0123,2026-06-01,2026-06-01,Boston Flagship,Received,20,OnTime,Regular
PO-000109,2026-06-23,Sterling Wholesale,USA,WH-001,PRD-0010,NaturePath Carbonated Drinks Plus,25,1.9965,2026-06-27,2026-06-27,Boston Flagship,Received,25,OnTime,Regular
PO-000110,2026-09-04,Sterling Wholesale,USA,WH-001,PRD-0010,NaturePath Carbonated Drinks Plus,25,2.0194,2026-09-08,2026-09-08,Boston Flagship,Received,25,OnTime,Regular
PO-000111,2026-09-25,Sterling Wholesale,USA,WH-001,PRD-0010,NaturePath Carbonated Drinks Plus,24,2.0459,2026-09-29,2026-09-29,Boston Flagship,Received,24,OnTime,Regular
PO-000112,2026-10-28,Sterling Wholesale,USA,WH-001,PRD-0010,NaturePath Carbonated Drinks Plus,23,2.0516,2026-11-01,2026-11-01,Boston Flagship,Received,23,OnTime,Regular
PO-000113,2026-11-28,sterling wholesale,USA,WH-001,PRD-0010,NaturePath Carbonated Drinks Plus,24,1.9898,2026-12-02,2026-12-05,Boston Flagship,Received,24,Late,Regular
PO-000114,2025-02-02,TrueNorth Exports,Canada,WH-001,PRD-0011,ElitePro Carbonated Drinks Pro,31,2.0856,2025-02-14,2025-02-12,Boston Flagship,Received,31,Early,Regular
PO-000115,2025-03-02,TrueNorth Exports,Canada,WH-001,PRD-0011,ElitePro Carbonated Drinks Pro,37,2.1559,2025-03-14,2025-03-14,Boston Flagship,Received,37,OnTime,Regular
PO-000116,2025-04-13,TrueNorth Exports,Canada,WH-001,PRD-0011,ElitePro Carbonated Drinks Pro,26,2.1047,2025-04-25,2025-05-02,Boston Flagship,Received,26,Late,Regular
PO-000117,2025-05-06,TrueNorth Exports,Canada,WH-001,PRD-0011,ElitePro Carbonated Drinks Pro,35,2.1269,2025-05-18,2025-05-18,Boston Flagship,Received,35,OnTime,Regular
PO-000118,2025-05-22,TrueNorth Exports,Canada,WH-001,PRD-0011,ElitePro Carbonated Drinks Pro,24,2.1368,2025-06-03,2025-06-03,Boston Flagship,Partial,17,OnTime,Regular
PO-000119,2025-05-31,TrueNorth Exports,Canada,WH-001,PRD-0011,ElitePro Carbonated Drinks Pro,25,2.0814,2025-06-12,2025-06-12,Boston Flagship,Partial,15,OnTime,Regular
PO-000120,2025-06-14,TrueNorth Exports,Canada,WH-001,PRD-0011,ElitePro Carbonated Drinks Pro,32,2.1669,2025-06-26,2025-06-26,Boston Flagship,Received,32,OnTime,Regular
PO-000121,2025-07-12,TrueNorth Exports,Canada,WH-001,PRD-0011,ElitePro Carbonated Drinks Pro,27,2.1259,2025-07-24,2025-07-24,Boston Flagship,Partial,21,OnTime,Regular
PO-000122,2025-07-28,TrueNorth Exports,Canada,WH-001,PRD-0011,ElitePro Carbonated Drinks Pro,30,2.1282,2025-08-09,2025-08-09,Boston Flagship,Received,30,OnTime,Regular
PO-000123,2025-08-11,TrueNorth Exports,Canada,WH-001,PRD-0011,ElitePro Carbonated Drinks Pro,30,2.14,2025-08-23,2025-08-23,Boston Flagship,Received,30,OnTime,Regular
PO-000124,2025-08-24,TrueNorth Exports,Canada,WH-001,PRD-0011,ElitePro Carbonated Drinks Pro,36,2.1437,2025-09-05,2025-09-15,Boston Flagship,Received,36,Late,Regular
PO-000125,2025-10-05,TrueNorth Exports,Canada,WH-001,PRD-0011,ElitePro Carbonated Drinks Pro,28,2.1813,2025-10-17,2025-10-17,Boston Flagship,Received,28,OnTime,Regular
PO-000126,2026-01-02,TrueNorth Exports,Canada,WH-001,PRD-0011,ElitePro Carbonated Drinks Pro,26,2.1956,2026-01-14,2026-01-23,Boston Flagship,Received,26,Late,Regular
PO-000127,2026-02-21,TrueNorth Exports,Canada,WH-001,PRD-0011,ElitePro Carbonated Drinks Pro,24,2.1126,2026-03-05,2026-03-05,Boston Flagship,Received,24,OnTime,Regular
PO-000128,2026-03-08,TrueNorth Exports,Canada,WH-001,PRD-0011,ElitePro Carbonated Drinks Pro,31,2.1682,2026-03-20,2026-03-20,Boston Flagship,Received,31,OnTime,Regular
PO-000129,2026-03-24,TrueNorth Exports,Canada,WH-001,PRD-0011,ElitePro Carbonated Drinks Pro,32,2.2131,2026-04-05,2026-04-05,Boston Flagship,Received,32,OnTime,Regular
PO-000130,2026-05-23,TrueNorth Exports,Canada,WH-001,PRD-0011,ElitePro Carbonated Drinks Pro,24,2.16,2026-06-04,2026-06-12,Boston Flagship,Received,24,Late,Regular
PO-000131,2026-06-13,TrueNorth Exports,Canada,WH-001,PRD-0011,ElitePro Carbonated Drinks Pro,27,2.1881,2026-06-25,2026-06-25,Boston Flagship,Partial,18,OnTime,Regular
PO-000132,2026-06-28,TrueNorth Exports,Canada,WH-001,PRD-0011,ElitePro Carbonated Drinks Pro,24,2.1564,2026-07-10,2026-07-10,Boston Flagship,Received,24,OnTime,Regular
PO-000133,2026-07-17,TrueNorth Exports,Canada,WH-001,PRD-0011,ElitePro Carbonated Drinks Pro,24,2.199,2026-07-29,2026-07-29,Boston Flagship,Received,24,OnTime,Regular
PO-000134,2026-08-05,TrueNorth Exports,Canada,WH-001,PRD-0011,ElitePro Carbonated Drinks Pro,25,2.1463,2026-08-17,2026-08-24,Boston Flagship,Received,25,Late,Regular
PO-000135,2026-09-07,TrueNorth Exports,Canada,WH-001,PRD-0011,ElitePro Carbonated Drinks Pro,31,2.186,2026-09-19,2026-09-19,Boston Flagship,Received,31,OnTime,Regular
PO-000136,2026-10-18,TrueNorth Exports,Canada,WH-001,PRD-0011,ElitePro Carbonated Drinks Pro,35,2.1724,2026-10-30,2026-10-30,Boston Flagship,Received,35,OnTime,Regular
PO-000137,2026-11-19,TrueNorth Exports,Canada,WH-001,PRD-0011,ElitePro Carbonated Drinks Pro,32,2.2499,2026-12-01,2026-12-06,Boston Flagship,Partial,21,Late,Regular
PO-000138,2026-12-05,TrueNorth Exports,Canada,WH-001,PRD-0011,ElitePro Carbonated Drinks Pro,24,2.2326,2026-12-17,2026-12-17,Boston Flagship,Received,24,OnTime,Regular
PO-000139,2024-12-02,Redwood Suppliers,USA,WH-001,PRD-0012,PureChoice Carbonated Drinks Lite,20,2.1415,2024-12-08,2024-12-08,Boston Flagship,Received,20,OnTime,Regular
