logisticsid,po_id,carrier,shipmentmode,freightcost,expecteddelivery,actualdelivery,shipmentstatus,origincountry,destinationstore
LOG-000056,PO-000056,Ryder,Rail,3.43,2026-08-15,2026-08-18,Delivered,UAE,Boston Flagship
LOG-000057,PO-000057,J.B. Hunt,Truck,3.56,2026-10-14,2026-10-19,Delivered,UAE,Boston Flagship
LOG-000058,PO-000058,FedEx Freight,Air,2.74,2026-12-29,2026-12-29,Delivered,UAE,Boston Flagship
LOG-000059,PO-000059,Echo Global,Truck,0.95,2025-06-24,2025-07-03,Delivered,China,Boston Flagship
LOG-000060,PO-000060,Echo Global,Truck,1.19,2026-09-08,2026-09-08,Delivered,China,Boston Flagship
LOG-000061,PO-000061,XPO Logistics,Rail,12.09,2025-02-06,2025-02-06,Delivered,China,Boston Flagship
LOG-000062,PO-000062,J.B. Hunt,Sea,7.01,2025-05-08,2025-05-08,Delivered,China,Boston Flagship
LOG-000063,PO-000063,XPO Logistics,Rail,9.64,2025-06-23,2025-07-12,Delivered,China,Boston Flagship
LOG-000064,PO-000064,Echo Global,Rail,18.69,2025-08-20,2025-09-06,Delivered,China,Boston Flagship
LOG-000065,PO-000065,J.B. Hunt,Air,11.57,2026-01-18,2026-01-18,Delivered,China,Boston Flagship
LOG-000066,PO-000066,J.B. Hunt,Rail,12.56,2026-05-11,2026-05-11,Delivered,China,Boston Flagship
LOG-000067,PO-000067,XPO Logistics,Air,14.8,2026-09-05,2026-09-27,Delivered,China,Boston Flagship
LOG-000068,PO-000068,UPS Supply Chain,Sea,1.7,2024-10-17,2024-10-17,Delivered,USA,Boston Flagship
LOG-000069,PO-000069,Echo Global,Truck,2.49,2024-11-09,2024-11-09,Delivered,USA,Boston Flagship
LOG-000070,PO-000070,FedEx Freight,Sea,3.55,2025-03-27,2025-03-27,Delivered,USA,Boston Flagship
LOG-000071,PO-000071,Echo Global,Truck,3.3,2025-05-02,2025-05-02,Delivered,USA,Boston Flagship
LOG-000072,PO-000072,FedEx Freight,Truck,2.81,2025-06-18,2025-06-18,Delivered,USA,Boston Flagship
LOG-000073,PO-000073,XPO Logistics,Truck,1.79,2025-09-05,2025-09-05,Delivered,USA,Boston Flagship
LOG-000074,PO-000074,J.B. Hunt,Truck,3.72,2026-01-14,2026-01-14,Delivered,USA,Boston Flagship
LOG-000075,PO-000075,UPS Supply Chain,Truck,3.86,2026-03-06,2026-03-06,Delivered,USA,Boston Flagship
LOG-000076,PO-000076,XPO Logistics,Sea,2.54,2026-05-01,2026-05-01,Delivered,USA,Boston Flagship
LOG-000077,PO-000077,FedEx Freight,Truck,2.23,2026-07-11,2026-07-11,Delivered,USA,Boston Flagship
LOG-000078,PO-000078,XPO Logistics,Truck,2.04,2026-12-11,2026-12-11,Delivered,USA,Boston Flagship
LOG-000079,PO-000079,XPO Logistics,Truck,3.72,2026-12-31,2026-12-31,Delivered,USA,Boston Flagship
LOG-000080,PO-000080,UPS Supply Chain,Truck,2.3,2024-11-04,2024-11-04,Delivered,Canada,Boston Flagship
LOG-000081,PO-000081,FedEx Freight,Rail,3.46,2024-12-16,2024-12-15,Delivered,Canada,Boston Flagship
LOG-000082,PO-000082,J.B. Hunt,Sea,1.77,2025-01-01,2025-01-01,Delivered,Canada,Boston Flagship
LOG-000083,PO-000083,J.B. Hunt,Truck,3.5,2025-06-06,2025-06-06,Delivered,Canada,Boston Flagship
LOG-000084,PO-000084,J.B. Hunt,Truck,2.4,2025-07-24,2025-07-24,Delivered,Canada,Boston Flagship
LOG-000085,PO-000085,J.B. Hunt,Truck,3.52,2025-08-30,2025-08-30,Delivered,Canada,Boston Flagship
LOG-000086,PO-000086,UPS Supply Chain,Truck,4.76,2025-12-06,2025-12-09,Delivered,Canada,Boston Flagship
LOG-000087,PO-000087,Ryder,Truck,4.93,2026-03-04,2026-03-04,Delivered,Canada,Boston Flagship
LOG-000088,PO-000088,J.B. Hunt,Truck,5.78,2026-07-13,2026-07-15,Delivered,Canada,Boston Flagship
LOG-000089,PO-000089,Ryder,Sea,4.22,2026-09-14,2026-09-22,Delivered,Canada,Boston Flagship
LOG-000090,PO-000090,J.B. Hunt,Air,7.24,2026-12-31,2026-12-31,Delivered,Canada,Boston Flagship
LOG-000091,PO-000091,XPO Logistics,Sea,4.46,2024-10-23,2024-10-23,Delivered,USA,Boston Flagship
LOG-000092,PO-000092,XPO Logistics,Truck,2.51,2024-11-16,2024-11-16,Delivered,USA,Boston Flagship
LOG-000093,PO-000093,UPS Supply Chain,Truck,3.8,2025-01-15,2025-01-15,Delivered,USA,Boston Flagship
LOG-000094,PO-000094,Ryder,Truck,4.15,2025-01-22,2025-01-22,Delivered,USA,Boston Flagship
LOG-000095,PO-000095,J.B. Hunt,Rail,4.78,2025-04-05,2025-04-08,Delivered,USA,Boston Flagship
LOG-000096,PO-000096,UPS Supply Chain,Truck,5.12,2025-05-05,2025-05-05,Delivered,USA,Boston Flagship
LOG-000097,PO-000097,XPO Logistics,Truck,3.63,2025-07-26,2025-07-26,Delivered,USA,Boston Flagship
LOG-000098,PO-000098,J.B. Hunt,Air,1.67,2025-08-16,2025-08-16,Delivered,USA,Boston Flagship
LOG-000099,PO-000099,Echo Global,Truck,3.69,2025-09-15,2025-09-15,Delivered,USA,Boston Flagship
LOG-000100,PO-000100,XPO Logistics,Sea,2.55,2025-10-29,2025-10-29,Delivered,USA,Boston Flagship
LOG-000101,PO-000101,XPO Logistics,Truck,3.91,2025-11-20,2025-11-20,Delivered,USA,Boston Flagship
LOG-000102,PO-000102,FedEx Freight,Air,3.66,2026-01-11,2026-01-11,Delivered,USA,Boston Flagship
LOG-000103,PO-000103,FedEx Freight,Air,4.53,2026-01-22,2026-01-22,Delivered,USA,Boston Flagship
LOG-000104,PO-000104,Ryder,Truck,2.93,2026-02-17,2026-02-17,Delivered,USA,Boston Flagship
LOG-000105,PO-000105,XPO Logistics,Truck,2.1,2026-04-09,2026-04-09,Delivered,USA,Boston Flagship
LOG-000106,PO-000106,FedEx Freight,Truck,4.82,2026-05-07,2026-05-07,Delivered,USA,Boston Flagship
LOG-000107,PO-000107,Echo Global,Truck,3.46,2026-05-17,2026-05-17,Delivered,USA,Boston Flagship
LOG-000108,PO-000108,Echo Global,Truck,2.34,2026-06-01,2026-06-01,Delivered,USA,Boston Flagship
LOG-000109,PO-000109,FedEx Freight,Rail,3.46,2026-06-27,2026-06-27,Delivered,USA,Boston Flagship
LOG-000110,PO-000110,Ryder,Truck,3.2,2026-09-08,2026-09-08,Delivered,USA,Boston Flagship
LOG-000111,PO-000111,Echo Global,Air,2.57,2026-09-29,2026-09-29,Delivered,USA,Boston Flagship
LOG-000112,PO-000112,Ryder,Truck,3.48,2026-11-01,2026-11-01,Delivered,USA,Boston Flagship
LOG-000113,PO-000113,XPO Logistics,Sea,5.16,2026-12-02,2026-12-05,Delivered,USA,Boston Flagship
LOG-000114,PO-000114,UPS Supply Chain,Truck,5.97,2025-02-14,2025-02-12,Delivered,Canada,Boston Flagship
LOG-000115,PO-000115,J.B. Hunt,Truck,7.04,2025-03-14,2025-03-14,Delivered,Canada,Boston Flagship
LOG-000116,PO-000116,UPS Supply Chain,Truck,2.78,2025-04-25,2025-05-02,Delivered,Canada,Boston Flagship
LOG-000117,PO-000117,Echo Global,Air,8.65,2025-05-18,2025-05-18,Delivered,Canada,Boston Flagship
LOG-000118,PO-000118,Echo Global,Truck,5.27,2025-06-03,2025-06-03,Delivered,Canada,Boston Flagship
LOG-000119,PO-000119,Echo Global,Air,5.0,2025-06-12,2025-06-12,Delivered,Canada,Boston Flagship
LOG-000120,PO-000120,Echo Global,Truck,7.15,2025-06-26,2025-06-26,Delivered,Canada,Boston Flagship
LOG-000121,PO-000121,J.B. Hunt,Sea,6.66,2025-07-24,2025-07-24,Delivered,Canada,Boston Flagship
LOG-000122,PO-000122,J.B. Hunt,Sea,3.17,2025-08-09,2025-08-09,Delivered,Canada,Boston Flagship
LOG-000123,PO-000123,Ryder,Air,2.78,2025-08-23,2025-08-23,Delivered,Canada,Boston Flagship
LOG-000124,PO-000124,Echo Global,Sea,6.92,2025-09-05,2025-09-15,Delivered,Canada,Boston Flagship
LOG-000125,PO-000125,XPO Logistics,Truck,4.52,2025-10-17,2025-10-17,Delivered,Canada,Boston Flagship
LOG-000126,PO-000126,Echo Global,Truck,4.14,2026-01-14,2026-01-23,Delivered,Canada,Boston Flagship
LOG-000127,PO-000127,J.B. Hunt,Air,4.54,2026-03-05,2026-03-05,Delivered,Canada,Boston Flagship
LOG-000128,PO-000128,UPS Supply Chain,Rail,3.45,2026-03-20,2026-03-20,Delivered,Canada,Boston Flagship
LOG-000129,PO-000129,XPO Logistics,Rail,3.35,2026-04-05,2026-04-05,Delivered,Canada,Boston Flagship
LOG-000130,PO-000130,UPS Supply Chain,Air,3.37,2026-06-04,2026-06-12,Delivered,Canada,Boston Flagship
LOG-000131,PO-000131,J.B. Hunt,Truck,2.79,2026-06-25,2026-06-25,Delivered,Canada,Boston Flagship
LOG-000132,PO-000132,FedEx Freight,Air,4.34,2026-07-10,2026-07-10,Delivered,Canada,Boston Flagship
LOG-000133,PO-000133,FedEx Freight,Rail,4.34,2026-07-29,2026-07-29,Delivered,Canada,Boston Flagship
LOG-000134,PO-000134,Ryder,Truck,4.48,2026-08-17,2026-08-24,Delivered,Canada,Boston Flagship
LOG-000135,PO-000135,J.B. Hunt,Truck,5.61,2026-09-19,2026-09-19,Delivered,Canada,Boston Flagship
LOG-000136,PO-000136,Echo Global,Truck,7.73,2026-10-30,2026-10-30,Delivered,Canada,Boston Flagship
LOG-000137,PO-000137,Echo Global,Truck,6.01,2026-12-01,2026-12-06,Delivered,Canada,Boston Flagship
LOG-000138,PO-000138,UPS Supply Chain,Sea,2.21,2026-12-17,2026-12-17,Delivered,Canada,Boston Flagship
LOG-000139,PO-000139,XPO Logistics,Truck,2.85,2024-12-08,2024-12-08,Delivered,USA,Boston Flagship
LOG-000140,PO-000140,J.B. Hunt,Rail,3.83,2025-02-12,2025-02-12,Delivered,USA,Boston Flagship
LOG-000141,PO-000141,FedEx Freight,Air,4.48,2025-03-19,2025-03-25,Delivered,USA,Boston Flagship
LOG-000142,PO-000142,Echo Global,Truck,2.74,2025-06-05,2025-06-05,Delivered,USA,Boston Flagship
LOG-000143,PO-000143,FedEx Freight,Rail,2.0,2025-06-25,2025-06-25,Delivered,USA,Boston Flagship
LOG-000144,PO-000144,Ryder,Air,4.65,2025-07-23,2025-07-23,Delivered,USA,Boston Flagship
LOG-000145,PO-000145,Ryder,Truck,5.91,2025-08-07,2025-08-07,Delivered,USA,Boston Flagship
LOG-000146,PO-000146,Ryder,Sea,4.35,2026-01-01,2026-01-01,Delivered,USA,Boston Flagship
LOG-000147,PO-000147,Echo Global,Truck,2.82,2026-01-29,2026-01-27,Delivered,USA,Boston Flagship
LOG-000148,PO-000148,XPO Logistics,Truck,2.26,2026-04-07,2026-04-09,Delivered,USA,Boston Flagship
LOG-000149,PO-000149,J.B. Hunt,Truck,3.69,2026-05-03,2026-05-03,Delivered,USA,Boston Flagship
LOG-000150,PO-000150,Ryder,Air,5.67,2026-06-07,2026-06-07,Delivered,USA,Boston Flagship
LOG-000151,PO-000151,J.B. Hunt,Rail,4.4,2026-06-28,2026-06-28,Delivered,USA,Boston Flagship
LOG-000152,PO-000152,J.B. Hunt,Truck,4.74,2026-08-03,2026-08-03,Delivered,USA,Boston Flagship
LOG-000153,PO-000153,Echo Global,Rail,4.87,2026-08-29,2026-08-29,Delivered,USA,Boston Flagship
LOG-000154,PO-000154,Ryder,Truck,4.78,2026-10-20,2026-10-20,Delivered,USA,Boston Flagship
LOG-000155,PO-000155,XPO Logistics,Air,4.5,2026-11-13,2026-11-12,Delivered,USA,Boston Flagship
LOG-000156,PO-000156,J.B. Hunt,Truck,3.39,2024-10-06,2024-10-06,Delivered,USA,Boston Flagship
LOG-000157,PO-000157,XPO Logistics,Rail,1.75,2025-02-14,2025-02-14,Delivered,USA,Boston Flagship
LOG-000158,PO-000158,Ryder,Truck,1.45,2025-03-20,2025-03-18,Delivered,USA,Boston Flagship
LOG-000159,PO-000159,Ryder,Truck,1.7,2025-08-06,2025-08-06,Delivered,USA,Boston Flagship
LOG-000160,PO-000160,FedEx Freight,Truck,4.52,2025-09-11,2025-09-13,Delivered,USA,Boston Flagship
LOG-000161,PO-000161,UPS Supply Chain,Air,1.74,2025-11-22,2025-11-26,Delivered,USA,Boston Flagship
LOG-000162,PO-000162,UPS Supply Chain,Truck,1.89,2026-03-12,2026-03-12,Delivered,USA,Boston Flagship
LOG-000163,PO-000163,Echo Global,Rail,3.32,2026-05-28,2026-06-03,Delivered,USA,Boston Flagship
LOG-000164,PO-000164,J.B. Hunt,Truck,1.9,2026-08-01,2026-08-01,Delivered,USA,Boston Flagship
LOG-000165,PO-000165,XPO Logistics,Rail,3.44,2026-08-15,2026-08-15,Delivered,USA,Boston Flagship
LOG-000166,PO-000166,XPO Logistics,Rail,3.45,2026-09-17,2026-09-17,Delivered,USA,Boston Flagship
LOG-000167,PO-000167,J.B. Hunt,Rail,4.02,2026-10-12,2026-10-12,Delivered,USA,Boston Flagship
LOG-000168,PO-000168,UPS Supply Chain,Truck,2.29,2025-01-30,2025-01-30,Delivered,USA,Boston Flagship
LOG-000169,PO-000169,XPO Logistics,Truck,1.96,2025-03-05,2025-03-05,Delivered,USA,Boston Flagship
LOG-000170,PO-000170,UPS Supply Chain,Truck,2.22,2025-04-23,2025-04-23,Delivered,USA,Boston Flagship
LOG-000171,PO-000171,J.B. Hunt,Truck,3.7,2025-04-30,2025-04-30,Delivered,USA,Boston Flagship
LOG-000172,PO-000172,UPS Supply Chain,Air,2.53,2025-06-29,2025-06-29,Delivered,USA,Boston Flagship
LOG-000173,PO-000173,Echo Global,Rail,4.24,2025-10-28,2025-10-28,Delivered,USA,Boston Flagship
LOG-000174,PO-000174,Echo Global,Truck,5.76,2025-12-15,2025-12-15,Delivered,USA,Boston Flagship
LOG-000175,PO-000175,UPS Supply Chain,Truck,2.48,2026-03-13,2026-03-13,Delivered,USA,Boston Flagship
LOG-000176,PO-000176,FedEx Freight,Truck,4.93,2026-05-08,2026-05-07,Delivered,USA,Boston Flagship
LOG-000177,PO-000177,Echo Global,Truck,4.91,2026-06-27,2026-06-27,Delivered,USA,Boston Flagship
LOG-000178,PO-000178,FedEx Freight,Rail,7.16,2026-08-24,2026-08-24,Delivered,USA,Boston Flagship
LOG-000179,PO-000179,J.B. Hunt,Truck,8.42,2026-09-27,2026-09-27,Delivered,USA,Boston Flagship
LOG-000180,PO-000180,Echo Global,Truck,4.27,2026-11-09,2026-11-09,Delivered,USA,Boston Flagship
LOG-000181,PO-000181,Ryder,Truck,6.89,2024-11-13,2024-11-13,Delivered,USA,Boston Flagship
LOG-000182,PO-000182,J.B. Hunt,Truck,3.98,2024-11-25,2024-11-25,Delivered,USA,Boston Flagship
LOG-000183,PO-000183,Ryder,Air,3.44,2025-01-01,2025-01-01,Delivered,USA,Boston Flagship
LOG-000184,PO-000184,XPO Logistics,Truck,5.73,2025-02-04,2025-02-04,Delivered,USA,Boston Flagship
LOG-000185,PO-000185,XPO Logistics,Air,4.26,2025-03-14,2025-03-14,Delivered,USA,Boston Flagship
LOG-000186,PO-000186,Ryder,Truck,3.06,2025-05-22,2025-05-22,Delivered,USA,Boston Flagship
LOG-000187,PO-000187,J.B. Hunt,Truck,7.51,2025-06-10,2025-06-13,Delivered,USA,Boston Flagship
LOG-000188,PO-000188,Echo Global,Air,3.42,2025-06-28,2025-06-28,Delivered,USA,Boston Flagship
LOG-000189,PO-000189,FedEx Freight,Air,4.18,2025-07-14,2025-07-14,Delivered,USA,Boston Flagship
LOG-000190,PO-000190,J.B. Hunt,Truck,3.23,2025-07-25,2025-07-25,Delivered,USA,Boston Flagship
LOG-000191,PO-000191,Echo Global,Truck,3.27,2025-08-17,2025-08-17,Delivered,USA,Boston Flagship
LOG-000192,PO-000192,Echo Global,Truck,6.1,2025-09-25,2025-09-25,Delivered,USA,Boston Flagship
LOG-000193,PO-000193,J.B. Hunt,Rail,6.67,2025-11-09,2025-11-09,Delivered,USA,Boston Flagship
LOG-000194,PO-000194,Ryder,Air,4.61,2025-11-30,2025-11-30,Delivered,USA,Boston Flagship
LOG-000195,PO-000195,Echo Global,Air,6.85,2026-01-01,2026-01-01,Delivered,USA,Boston Flagship
LOG-000196,PO-000196,J.B. Hunt,Truck,5.25,2026-03-01,2026-02-27,Delivered,USA,Boston Flagship
LOG-000197,PO-000197,Echo Global,Truck,3.91,2026-04-10,2026-04-10,Delivered,USA,Boston Flagship
LOG-000198,PO-000198,FedEx Freight,Truck,8.46,2026-04-21,2026-04-21,Delivered,USA,Boston Flagship
LOG-000199,PO-000199,XPO Logistics,Truck,5.97,2026-05-11,2026-05-11,Delivered,USA,Boston Flagship
LOG-000200,PO-000200,FedEx Freight,Truck,8.64,2026-06-02,2026-06-02,Delivered,USA,Boston Flagship
LOG-000201,PO-000201,J.B. Hunt,Truck,3.01,2026-06-12,2026-06-14,Delivered,USA,Boston Flagship
LOG-000202,PO-000202,Ryder,Sea,3.68,2026-07-31,2026-07-31,Delivered,USA,Boston Flagship
LOG-000203,PO-000203,FedEx Freight,Rail,6.87,2026-08-29,2026-08-29,Delivered,USA,Boston Flagship
LOG-000204,PO-000204,J.B. Hunt,Truck,3.61,2026-09-05,2026-09-05,Delivered,USA,Boston Flagship
LOG-000205,PO-000205,Ryder,Truck,5.64,2026-09-14,2026-09-14,Delivered,USA,Boston Flagship
LOG-000206,PO-000206,FedEx Freight,Truck,8.74,2026-10-02,2026-10-02,Delivered,USA,Boston Flagship
LOG-000207,PO-000207,Echo Global,Truck,3.53,2026-11-17,2026-11-17,Delivered,USA,Boston Flagship
LOG-000208,PO-000208,Echo Global,Rail,3.31,2026-12-16,2026-12-16,Delivered,USA,Boston Flagship
LOG-000209,PO-000209,UPS Supply Chain,Air,3.37,2024-11-20,2024-11-20,Delivered,USA,Boston Flagship
LOG-000210,PO-000210,Echo Global,Rail,3.55,2024-12-16,2024-12-16,Delivered,USA,Boston Flagship
LOG-000211,PO-000211,Echo Global,Truck,5.54,2024-12-30,2024-12-30,Delivered,USA,Boston Flagship
LOG-000212,PO-000212,Ryder,Air,4.59,2025-01-17,2025-01-17,Delivered,USA,Boston Flagship
LOG-000213,PO-000213,Ryder,Truck,4.85,2025-02-13,2025-02-18,Delivered,USA,Boston Flagship
LOG-000214,PO-000214,XPO Logistics,Truck,5.1,2025-05-03,2025-05-01,Delivered,USA,Boston Flagship
LOG-000215,PO-000215,Echo Global,Sea,5.84,2025-08-16,2025-08-15,Delivered,USA,Boston Flagship
LOG-000216,PO-000216,Ryder,Sea,8.77,2025-08-27,2025-08-27,Delivered,USA,Boston Flagship
LOG-000217,PO-000217,Echo Global,Air,8.77,2025-10-28,2025-10-28,Delivered,USA,Boston Flagship
LOG-000218,PO-000218,UPS Supply Chain,Rail,10.04,2025-12-18,2025-12-17,Delivered,USA,Boston Flagship
LOG-000219,PO-000219,FedEx Freight,Truck,10.53,2026-02-17,2026-02-17,Delivered,USA,Boston Flagship
LOG-000220,PO-000220,FedEx Freight,Rail,5.86,2026-03-30,2026-03-30,Delivered,USA,Boston Flagship
LOG-000221,PO-000221,XPO Logistics,Truck,4.24,2026-04-25,2026-04-24,Delivered,USA,Boston Flagship
LOG-000222,PO-000222,Ryder,Air,12.96,2026-07-11,2026-07-11,Delivered,USA,Boston Flagship
LOG-000223,PO-000223,UPS Supply Chain,Rail,5.86,2026-08-29,2026-08-28,Delivered,USA,Boston Flagship
LOG-000224,PO-000224,UPS Supply Chain,Air,11.17,2026-11-09,2026-11-09,Delivered,USA,Boston Flagship
LOG-000225,PO-000225,FedEx Freight,Air,7.14,2026-12-17,2026-12-17,Delivered,USA,Boston Flagship
LOG-000226,PO-000226,J.B. Hunt,Sea,1.33,2025-10-20,2025-10-20,Delivered,USA,Boston Flagship
LOG-000227,PO-000227,J.B. Hunt,Truck,1.06,2025-11-15,2025-11-14,Delivered,USA,Boston Flagship
LOG-000228,PO-000228,J.B. Hunt,Rail,1.49,2025-11-27,2025-11-27,Delivered,USA,Boston Flagship
LOG-000229,PO-000229,Ryder,Air,1.17,2025-12-18,2025-12-18,Delivered,USA,Boston Flagship
LOG-000230,PO-000230,FedEx Freight,Truck,1.17,2026-02-02,2026-02-02,Delivered,USA,Boston Flagship
LOG-000231,PO-000231,FedEx Freight,Truck,2.19,2026-02-12,2026-02-12,Delivered,USA,Boston Flagship
LOG-000232,PO-000232,FedEx Freight,Truck,0.72,2026-03-13,2026-03-13,Delivered,USA,Boston Flagship
LOG-000233,PO-000233,FedEx Freight,Sea,1.72,2026-03-25,2026-03-25,Delivered,USA,Boston Flagship
LOG-000234,PO-000234,FedEx Freight,Truck,1.07,2026-03-30,2026-04-02,Delivered,USA,Boston Flagship
LOG-000235,PO-000235,J.B. Hunt,Truck,1.12,2026-04-26,2026-04-26,Delivered,USA,Boston Flagship
LOG-000236,PO-000236,FedEx Freight,Truck,2.15,2026-06-03,2026-06-03,Delivered,USA,Boston Flagship
