ReturnID,ReturnDate,InvoiceID,StoreName,SKU,ProductName,Category,ReturnedQty,ReturnReason,RefundAmount
RET-000060,2026-07-25,INV-0039976,Charlotte Standard,PRD-0093,BluePeak Canned Goods Classic 400g,Grocery,7,Customer Return,12.23
RET-000061,2025-07-28,INV-0052229,Tampa Compact,PRD-0111,CoastalSelect Frozen Meals Select,Frozen Foods,1,Customer Return,12.14
RET-000062,2026-06-21,INV-0068136,Nashville Compact,PRD-0039,UrbanHarvest Chips & Crisps Plus 1000g,Snacks,3,Damaged,14.87
RET-000063,2024-11-25,INV-0009972,Atlanta Flagship,PRD-0049,GoldCrest Nuts & Seeds Deluxe 750g,Snacks,10,Expired,64.79
RET-000064,2026-10-04,INV-0071560,Salt Lake City Express,PRD-0058,EverGreen Cookies & Bars Original 500g,Snacks,4,Customer Return,10.44
RET-000065,2025-11-07,INV-0056930,Phoenix Compact,PRD-0130,PureChoice Ice Cream Deluxe,Frozen Foods,1,Expired,8.01
RET-000066,2026-01-05,INV-0055513,Phoenix Compact,PRD-0070,EverGreen Cheese Lite,Dairy,12,Damaged,79.98
RET-000067,2026-05-04,INV-0077201,Raleigh Standard,PRD-0109,HomeComfort Pasta & Grains Select 300g,Grocery,9,Customer Return,45.81
RET-000068,2026-08-02,INV-0060214,Providence Express,PRD-0078,ValuBrand Yogurt Classic,Dairy,18,Quality Issue,76.42
RET-000069,2026-10-19,INV-0072991,Salt Lake City Express,PRD-0155,QuickServe Cleaning Products Original,Household,1,Damaged,3.19
RET-000070,2025-06-18,INV-0043614,Columbus Standard,PRD-0024,SunRise Water & Sparkling Premium,Beverages,2,Damaged,2.74
RET-000071,2026-01-12,INV-0043591,Columbus Standard,prd-0022,ElitePro Juices Lite,Beverages,5,Damaged,17.53
RET-000072,2026-08-24,INV-0008392,Atlanta Flagship,PRD-0011,ElitePro Carbonated Drinks Pro,Beverages,6,Quality Issue,15.19
RET-000073,2025-01-24,INV-0020963,Chicago Flagship,PRD-0140,PureChoice Vitamins Classic,Health & Beauty,2,Incorrect Shipment,39.82
RET-000074,2026-11-14,INV-0068942,Nashville Compact,PRD-0079,CoastalSelect Yogurt Pro,Dairy,1,Expired,2.47
RET-000075,2026-06-07,INV-0074118,Detroit Compact,PRD-0061,BluePeak Cookies & Bars Original 400g,Snacks,1,Damaged,3.25
RET-000076,2026-10-20,INV-0064613,Indianapolis Standard,PRD-0071,CoastalSelect Cheese Lite,Dairy,1,Expired,12.19
RET-000077,2026-06-19,INV-0064596,Indianapolis Standard,PRD-0071,CoastalSelect Cheese Lite,Dairy,6,Expired,75.24
RET-000078,2026-12-03,INV-0071267,Salt Lake City Express,PRD-0035,ElitePro Energy Drinks Select,Beverages,1,Incorrect Shipment,2.0
RET-000079,2024-11-25,INV-0005087,Boston Flagship,PRD-0113,SunRise Frozen Meals Plus,Frozen Foods,1,Damaged,10.54
RET-000080,2025-06-14,INV-0030612,Philadelphia Standard,PRD-0057,ElitePro Cookies & Bars Classic 250g,Snacks,1,Damaged,2.63
RET-000081,2025-12-10,INV-0064091,Indianapolis Standard,PRD-0049,GoldCrest Nuts & Seeds Deluxe 750g,Snacks,3,Quality Issue,21.01
RET-000082,2026-05-11,INV-0015406,Chicago Flagship,PRD-0015,QuickServe Juices Premium,Beverages,1,Customer Return,3.95
RET-000083,2026-01-04,INV-0038608,Charlotte Standard,PRD-0063,OptimaFood Cookies & Bars Deluxe 200g,Snacks,1,Incorrect Shipment,3.94
RET-000084,2026-11-25,INV-0076914,Raleigh Standard,PRD-0084,HomeComfort Butter & Spreads Classic,Dairy,1,Customer Return,7.47
RET-000085,2026-12-31,INV-0008870,Atlanta Flagship,PRD-0022,ElitePro Juices Lite,Beverages,3,Damaged,10.99
RET-000086,2025-10-31,INV-0039161,Charlotte Standard,PRD-0076,ClearSpring Yogurt Plus,Dairy,1,,2.81
RET-000087,2026-08-20,INV-0055671,Phoenix Compact,PRD-0076,ClearSpring Yogurt Plus,Dairy,1,Customer Return,2.67
RET-000088,2026-01-15,INV-0055164,Phoenix Compact,PRD-0052,HomeComfort Nuts & Seeds Original 750g,Snacks,3,Damaged,20.77
RET-000089,2025-10-05,INV-0014386,Atlanta Flagship,PRD-0158,ElitePro Cleaning Products Deluxe,Household,4,Customer Return,19.93
RET-000090,2025-04-15,INV-0007760,Atlanta Flagship,PRD-0001,BluePeak Carbonated Drinks Plus,Beverages,9,Damaged,12.55
RET-000091,2026-07-24,INV-0008851,Atlanta Flagship,PRD-0022,ElitePro Juices Lite,Beverages,1,Quality Issue,3.58
RET-000092,2025-11-27,INV-0011882,Atlanta Flagship,PRD-0093,BluePeak Canned Goods Classic 400g,Grocery,1,Incorrect Shipment,1.74
RET-000093,2026-03-26,INV-0053079,Tampa Compact,PRD-0136,FreshFirst Vitamins Plus,Health & Beauty,4,Customer Return,36.16
RET-000094,2024-11-26,INV-0002768,Boston Flagship,PRD-0058,EverGreen Cookies & Bars Original 500g,Snacks,2,Quality Issue,5.05
RET-000095,2026-12-18,INV-0010583,Atlanta Flagship,PRD-0065,NaturePath Cheese Classic,Dairy,3,Damaged,20.91
RET-000096,2026-09-23,INV-0043959,Columbus Standard,PRD-0030,BluePeak Water & Sparkling Plus,Beverages,5,Damaged,10.1
RET-000097,2025-10-07,INV-0043980,Columbus Standard,PRD-0031,FreshFirst Energy Drinks Pro,Beverages,4,Expired,17.9
RET-000098,2026-04-18,INV-0034154,Philadelphia Standard,PRD-0130,PureChoice Ice Cream Deluxe,Frozen Foods,1,Expired,8.76
RET-000099,2026-01-09,INV-0060466,Providence Express,PRD-0088,UrbanHarvest Canned Goods Original 500g,Grocery,7,Quality Issue,14.46
RET-000100,2025-06-29,INV-0053822,Tampa Compact,PRD-0163,SunRise Paper Products Premium,Household,1,Customer Return,7.4
RET-000101,2025-09-23,INV-0023260,Denver Standard,PRD-0032,FreshFirst Energy Drinks Plus,Beverages,1,Damaged,5.23
RET-000102,2026-08-25,INV-0079481,Hartford Express,PRD-0157,EverGreen Cleaning Products Lite,Household,1,Customer Return,9.66
RET-000103,2026-12-18,INV-0016928,Chicago Flagship,PRD-0053,UrbanHarvest Nuts & Seeds Original 400g,Snacks,1,Customer Return,8.99
RET-000104,2025-06-19,INV-0065483,Indianapolis Standard,PRD-0100,FreshFirst Condiments Pro 250g,Grocery,3,Damaged,19.76
RET-000105,2026-06-11,INV-0078814,Hartford Express,PRD-0092,CoastalSelect Canned Goods Pro 500g,Grocery,3,Customer Return,8.33
RET-000106,2026-08-12,INV-0014774,Chicago Flagship,PRD-0002,PureChoice Carbonated Drinks Plus,Beverages,6,Expired,11.48
RET-000107,2024-11-17,INV-0023524,Denver Standard,PRD-0040,UrbanHarvest Chips & Crisps Premium 1000g,Snacks,2,Damaged,8.34
RET-000108,2026-05-08,INV-0054814,Phoenix Compact,PRD-0035,ElitePro Energy Drinks Select,Beverages,3,Damaged,5.78
RET-000109,2026-12-19,INV-0007317,Boston Flagship,PRD-0155,QuickServe Cleaning Products Original,Household,1,Quality Issue,3.37
RET-000110,2026-11-13,INV-0007825,Atlanta Flagship,PRD-0001,BluePeak Carbonated Drinks Plus,Beverages,1,Customer Return,1.5
RET-000111,2026-05-12,INV-0062472,Providence Express,PRD-0155,QuickServe Cleaning Products Original,Household,2,Customer Return,6.61
RET-000112,2026-06-19,INV-0026540,Denver Standard,PRD-0128,QuickServe Ice Cream Plus,Frozen Foods,4,Damaged,29.08
RET-000113,2026-10-06,INV-0064514,Indianapolis Standard,PRD-0067,EverGreen Cheese Classic,Dairy,5,Expired,70.59
RET-000114,2026-10-16,INV-0012362,Atlanta Flagship,PRD-0105,HomeComfort Pasta & Grains Premium 400g,Grocery,1,Customer Return,2.35
RET-000115,2026-12-04,INV-0026514,Denver Standard,PRD-0127,SunRise Frozen Vegetables Deluxe,Frozen Foods,3,Expired,7.96
RET-000116,2026-05-07,INV-0060841,Providence Express,PRD-0097,CoastalSelect Condiments Select 300g,Grocery,1,Quality Issue,2.61
RET-000117,2026-12-20,INV-0074472,Detroit Compact,PRD-0082,HomeComfort Butter & Spreads Classic,Dairy,1,Customer Return,8.73
RET-000118,2026-09-06,INV-0077081,Raleigh Standard,PRD-0096,EverGreen Condiments Premium 500g,Grocery,1,Incorrect Shipment,8.23
RET-000119,2025-03-12,INV-0011167,Atlanta Flagship,PRD-0078,ValuBrand Yogurt Classic,Dairy,3,Expired,12.24
RET-000120,2026-02-16,INV-0039512,Charlotte Standard,PRD-0085,BluePeak Canned Goods Value 500g,Grocery,1,Customer Return,1.7
RET-000121,2025-06-19,INV-0002314,Boston Flagship,PRD-0047,EverGreen Chips & Crisps Plus 300g,Snacks,1,Damaged,1.44
RET-000122,2026-04-07,INV-0053011,Tampa Compact,PRD-0132,ClearSpring Ice Cream Classic,Frozen Foods,2,Customer Return,17.32
RET-000123,2026-08-17,INV-0063823,Indianapolis Standard,PRD-0038,UrbanHarvest Chips & Crisps Deluxe 300g,Snacks,1,Damaged,2.87
RET-000124,2026-08-30,INV-0045983,Columbus Standard,PRD-0087,HomeComfort Canned Goods Original 200g,Grocery,9,Damaged,12.73
RET-000125,2026-12-03,INV-0053673,Tampa Compact,PRD-0158,ElitePro Cleaning Products Deluxe,Household,2,Quality Issue,10.39
RET-000126,2025-09-12,INV-0030033,Philadelphia Standard,PRD-0044,EverGreen Chips & Crisps Original 300g,Snacks,1,Quality Issue,3.4
RET-000127,2024-11-18,INV-0006062,Boston Flagship,PRD-0129,ElitePro Ice Cream Pro,Frozen Foods,2,Expired,13.72
RET-000128,2025-10-26,INV-0029405,Philadelphia Standard,PRD-0030,BluePeak Water & Sparkling Plus,Beverages,1,Damaged,1.95
RET-000129,2026-07-18,INV-0061315,Providence Express,PRD-0115,ClearSpring Frozen Meals Lite,Frozen Foods,11,Customer Return,161.78
RET-000130,2026-12-10,INV-0074356,Detroit Compact,PRD-0076,ClearSpring Yogurt Plus,Dairy,1,Quality Issue,2.89
RET-000131,2026-11-26,INV-0006741,Boston Flagship,PRD-0141,UrbanHarvest Vitamins Pro,Health & Beauty,1,Damaged,7.09
RET-000132,2024-12-25,INV-0011904,Atlanta Flagship,PRD-0094,SunRise Canned Goods Value 200g,Grocery,1,Customer Return,4.09
RET-000133,2026-08-22,INV-0074932,Detroit Compact,PRD-0113,SunRise Frozen Meals Plus,Frozen Foods,2,Quality Issue,21.55
RET-000134,2025-04-06,INV-0001522,Boston Flagship,PRD-0030,BluePeak Water & Sparkling Plus,Beverages,4,Expired,8.16
RET-000135,2025-10-09,INV-0064581,Indianapolis Standard,PRD-0071,CoastalSelect Cheese Lite,Dairy,2,Quality Issue,23.65
RET-000136,2024-12-17,INV-0005956,Boston Flagship,PRD-0126,QuickServe Frozen Vegetables Deluxe,Frozen Foods,2,Customer Return,6.46
RET-000137,2026-05-23,INV-0054656,Phoenix Compact,PRD-0030,BluePeak Water & Sparkling Plus,Beverages,3,Expired,6.33
RET-000138,2025-06-19,INV-0050521,Tampa Compact,PRD-0050,HomeComfort Nuts & Seeds Deluxe 500g,Snacks,7,Quality Issue,45.7
RET-000139,2026-01-24,INV-0052086,Tampa Compact,PRD-0103,BluePeak Pasta & Grains Original 500g,Grocery,3,,5.91
RET-000140,2025-04-02,INV-0010213,Atlanta Flagship,PRD-0054,QuickServe Nuts & Seeds Deluxe 500g,Snacks,1,Damaged,5.33
RET-000141,2026-08-02,INV-0043159,Columbus Standard,PRD-0009,CoastalSelect Carbonated Drinks Deluxe,Beverages,10,Damaged,24.36
RET-000142,2025-06-12,INV-0008181,Atlanta Flagship,PRD-0009,CoastalSelect Carbonated Drinks Deluxe,Beverages,11,Quality Issue,26.79
RET-000143,2026-10-05,INV-0067107,Nashville Compact,PRD-0001,BluePeak Carbonated Drinks Plus,Beverages,5,Customer Return,6.99
RET-000144,2025-07-10,INV-0007096,Boston Flagship,PRD-0151,HomeComfort OTC Medicine Deluxe,Health & Beauty,3,Damaged,63.18
RET-000145,2026-12-07,INV-0034188,Philadelphia Standard,PRD-0131,EverGreen Ice Cream Plus,Frozen Foods,1,Damaged,9.89
RET-000146,2026-04-07,INV-0015472,Chicago Flagship,PRD-0016,FreshFirst Juices Deluxe,Beverages,2,Damaged,8.95
RET-000147,2024-12-31,INV-0008229,Atlanta Flagship,PRD-0010,NaturePath Carbonated Drinks Plus,Beverages,5,Customer Return,11.75
RET-000148,2026-08-26,INV-0079040,Hartford Express,PRD-0114,UrbanHarvest Frozen Meals Select,Frozen Foods,8,Incorrect Shipment,118.89
RET-000149,2025-04-29,INV-0023485,Denver Standard,PRD-0039,UrbanHarvest Chips & Crisps Plus 1000g,Snacks,1,Customer Return,3.97
RET-000150,2026-08-27,INV-0075198,Detroit Compact,PRD-0124,SunRise Frozen Vegetables Value,Frozen Foods,3,Damaged,19.08
RET-000151,2025-01-17,INV-0020595,Chicago Flagship,PRD-0132,ClearSpring Ice Cream Classic,Frozen Foods,9,Quality Issue,73.24
RET-000152,2026-02-01,INV-0072006,Salt Lake City Express,PRD-0092,CoastalSelect Canned Goods Pro 500g,Grocery,4,Expired,11.51
RET-000153,2026-02-18,INV-0071976,Salt Lake City Express,PRD-0090,BluePeak Canned Goods Deluxe 250g,Grocery,1,Damaged,3.74
RET-000154,2026-09-24,INV-0014566,Atlanta Flagship,PRD-0161,PureChoice Cleaning Products Pro,Household,2,Customer Return,15.09
RET-000155,2025-05-24,INV-0053594,Tampa Compact,PRD-0156,NaturePath Cleaning Products Lite,Household,1,Expired,9.33
RET-000156,2026-06-27,INV-0048722,Columbus Standard,PRD-0163,SunRise Paper Products Premium,Household,3,Damaged,24.56
RET-000157,2026-09-07,INV-0010910,Atlanta Flagship,PRD-0072,FreshFirst Cheese Select,Dairy,1,Incorrect Shipment,5.89
RET-000158,2026-12-23,INV-0055421,Phoenix Compact,PRD-0065,NaturePath Cheese Classic,Dairy,1,Expired,6.37
RET-000159,2026-07-10,INV-0070115,Nashville Compact,PRD-0136,FreshFirst Vitamins Plus,Health & Beauty,1,Incorrect Shipment,9.59
RET-000160,2026-10-20,INV-0004389,Boston Flagship,PRD-0092,CoastalSelect Canned Goods Pro 500g,Grocery,5,Expired,15.84
RET-000161,2025-08-13,INV-0012015,Atlanta Flagship,PRD-0096,EverGreen Condiments Premium 500g,Grocery,3,Damaged,23.13
RET-000162,2025-09-26,INV-0023147,Denver Standard,PRD-0030,BluePeak Water & Sparkling Plus,Beverages,2,Quality Issue,3.96
RET-000163,2026-09-04,INV-0052876,Tampa Compact,PRD-0127,SunRise Frozen Vegetables Deluxe,Frozen Foods,5,Customer Return,16.26
RET-000164,2026-12-23,INV-0029216,Philadelphia Standard,PRD-0027,ValuBrand Water & Sparkling Plus,Beverages,4,Quality Issue,6.35
RET-000165,2025-04-10,INV-0054125,Phoenix Compact,PRD-0011,ElitePro Carbonated Drinks Pro,Beverages,1,Damaged,2.44
RET-000166,2026-03-07,INV-0072117,Salt Lake City Express,PRD-0098,CoastalSelect Condiments Plus 1000g,Grocery,4,Incorrect Shipment,26.52
RET-000167,2026-12-14,INV-0035962,Charlotte Standard,PRD-0003,EverGreen Carbonated Drinks Deluxe,Beverages,1,Customer Return,1.53
RET-000168,2025-08-21,INV-0017110,Chicago Flagship,PRD-0058,EverGreen Cookies & Bars Original 500g,Snacks,1,Customer Return,2.77
RET-000169,2026-04-15,INV-0058102,Providence Express,PRD-0009,CoastalSelect Carbonated Drinks Deluxe,Beverages,1,Customer Return,2.32
RET-000170,2025-06-26,INV-0018015,Chicago Flagship,PRD-0078,ValuBrand Yogurt Classic,Dairy,1,Expired,4.24
RET-000171,2026-01-06,INV-0046126,Columbus Standard,PRD-0090,BluePeak Canned Goods Deluxe 250g,Grocery,2,Damaged,7.93
RET-000172,2026-01-19,INV-0023106,Denver Standard,PRD-0029,SunRise Water & Sparkling Classic,Beverages,2,Customer Return,1.87
RET-000173,2025-11-14,INV-0034463,Philadelphia Standard,PRD-0138,SunRise Vitamins Deluxe,Health & Beauty,1,Expired,21.21
RET-000174,2025-12-25,INV-0057272,Phoenix Compact,PRD-0144,OptimaFood Personal Care Value,Health & Beauty,2,Incorrect Shipment,13.01
RET-000175,2024-10-19,INV-0024444,Denver Standard,PRD-0068,OptimaFood Cheese Deluxe,Dairy,1,Incorrect Shipment,17.85
RET-000176,2026-10-22,INV-0075918,Raleigh Standard,PRD-0007,ValuBrand Carbonated Drinks Premium,Beverages,4,Customer Return,6.94
RET-000177,2025-08-31,INV-0039961,Charlotte Standard,PRD-0093,BluePeak Canned Goods Classic 400g,Grocery,2,Damaged,4.33
RET-000178,2026-09-02,INV-0061473,Providence Express,PRD-0119,PureChoice Frozen Meals Lite,Frozen Foods,1,Quality Issue,7.23
RET-000179,2025-03-17,INV-0010935,Atlanta Flagship,PRD-0073,QuickServe Yogurt Pro,Dairy,3,Expired,7.78
RET-000180,2025-09-21,INV-0053112,Tampa Compact,PRD-0138,SunRise Vitamins Deluxe,Health & Beauty,3,Customer Return,68.05
RET-000181,2024-10-14,INV-0001740,Boston Flagship,PRD-0033,NaturePath Energy Drinks Plus,Beverages,1,Customer Return,2.95
RET-000182,2026-10-16,INV-0080484,Milwaukee Compact,PRD-0155,QuickServe Cleaning Products Original,Household,3,Customer Return,9.57
RET-000183,2026-11-14,INV-0079798,Milwaukee Compact,PRD-0035,ElitePro Energy Drinks Select,Beverages,3,Customer Return,6.52
RET-000184,2025-11-02,INV-0054448,Phoenix Compact,PRD-0024,SunRise Water & Sparkling Premium,Beverages,3,Customer Return,3.74
RET-000185,2026-05-30,INV-0025107,Denver Standard,PRD0087,HomeComfort Canned Goods Original 200g,Grocery,1,Expired,1.55
RET-000186,2026-12-31,INV-0062158,Providence Express,PRD-0140,PureChoice Vitamins Classic,Health & Beauty,1,Damaged,22.82
RET-000187,2026-10-04,INV-0068929,Nashville Compact,PRD-0078,ValuBrand Yogurt Classic,Dairy,1,Customer Return,3.75
RET-000188,2025-04-16,INV-0016716,Chicago Flagship,PRD-0049,GoldCrest Nuts & Seeds Deluxe 750g,Snacks,4,Incorrect Shipment,28.33
RET-000189,2026-12-10,INV-0057244,Phoenix Compact,PRD-0140,PureChoice Vitamins Classic,Health & Beauty,1,Expired,21.64
RET-000190,2026-10-31,INV-0030342,Philadelphia Standard,PRD-0049,GoldCrest Nuts & Seeds Deluxe 750g,Snacks,7,Damaged,51.94
RET-000191,2026-11-18,INV-0000076,Boston Flagship,PRD-0001,BluePeak Carbonated Drinks Plus,Beverages,3,Incorrect Shipment,3.95
RET-000192,2026-04-08,INV-0036353,Charlotte Standard,PRD-0011,ElitePro Carbonated Drinks Pro,Beverages,3,Expired,8.18
RET-000193,2025-06-04,INV-0022150,Denver Standard,PRD-0004,PureChoice Carbonated Drinks Classic,Beverages,1,Expired,1.12
RET-000194,2025-06-05,INV-0012124,Atlanta Flagship,PRD-0098,CoastalSelect Condiments Plus 1000g,Grocery,2,Customer Return,13.11
RET-000195,2026-04-16,INV-0014151,Atlanta Flagship,PRD-0152,CoastalSelect OTC Medicine Original,Health & Beauty,1,Damaged,23.38
RET-000196,2026-06-29,INV-0007963,Atlanta Flagship,PRD-0004,PureChoice Carbonated Drinks Classic,Beverages,2,Customer Return,2.11
RET-000197,2026-11-30,INV-0060344,Providence Express,PRD-0083,OptimaFood Butter & Spreads Lite,Dairy,1,Customer Return,4.06
